,name,address,unit,sqft,bed,bath,price,city,state,zipcode,description,details,url,date
0,Crestwood Apartment Homes,1800 Patton Ln,Studio 1.0 Bath,400 sqft,Studio,1ba,$985,Austin,TX,78723,"One Month Free!! on a 12 month lease term.. One month free on a 12 month lease!Crestwood Apartments offers a mixture of comfort, quality, and design. Crestwood's newly renovated apartments are located in Austin's, Windsor Park neighborhood offering residents an urban suburban feel with easy access to great restaurants, coffee shops, and parks. The community features include both laundry facility and parking on-site. Renovated apartments include quartz counter tops, stainless steel appliance package and open living area, great for entertaining! Please contact us to schedule your personal tour today!(RLNE6200438)",,https://www.trulia.com/c/tx/austin/crestwood-apartment-homes-1800-patton-ln-austin-tx-78723--1050321298,2020-11-10
1,Crestwood Apartment Homes,1800 Patton Ln,Unit 1800-215,400 sqft,Studio,1ba,Contact$985,Austin,TX,78723,"One Month Free!! on a 12 month lease term.. One month free on a 12 month lease!Crestwood Apartments offers a mixture of comfort, quality, and design. Crestwood's newly renovated apartments are located in Austin's, Windsor Park neighborhood offering residents an urban suburban feel with easy access to great restaurants, coffee shops, and parks. The community features include both laundry facility and parking on-site. Renovated apartments include quartz counter tops, stainless steel appliance package and open living area, great for entertaining! Please contact us to schedule your personal tour today!(RLNE6200438)",,https://www.trulia.com/c/tx/austin/crestwood-apartment-homes-1800-patton-ln-austin-tx-78723--1050321298,2020-11-10
2,Crestwood Apartment Homes,1800 Patton Ln,1 Bed 1.0 Bath,620 sqft,1bd,1ba,"$1,250",Austin,TX,78723,"One Month Free!! on a 12 month lease term.. One month free on a 12 month lease!Crestwood Apartments offers a mixture of comfort, quality, and design. Crestwood's newly renovated apartments are located in Austin's, Windsor Park neighborhood offering residents an urban suburban feel with easy access to great restaurants, coffee shops, and parks. The community features include both laundry facility and parking on-site. Renovated apartments include quartz counter tops, stainless steel appliance package and open living area, great for entertaining! Please contact us to schedule your personal tour today!(RLNE6200438)",,https://www.trulia.com/c/tx/austin/crestwood-apartment-homes-1800-patton-ln-austin-tx-78723--1050321298,2020-11-10
3,Crestwood Apartment Homes,1800 Patton Ln,Unit 1800-103,620 sqft,1bd,1ba,"Contact$1,250",Austin,TX,78723,"One Month Free!! on a 12 month lease term.. One month free on a 12 month lease!Crestwood Apartments offers a mixture of comfort, quality, and design. Crestwood's newly renovated apartments are located in Austin's, Windsor Park neighborhood offering residents an urban suburban feel with easy access to great restaurants, coffee shops, and parks. The community features include both laundry facility and parking on-site. Renovated apartments include quartz counter tops, stainless steel appliance package and open living area, great for entertaining! Please contact us to schedule your personal tour today!(RLNE6200438)",,https://www.trulia.com/c/tx/austin/crestwood-apartment-homes-1800-patton-ln-austin-tx-78723--1050321298,2020-11-10
4,Crestwood Apartment Homes,1800 Patton Ln,Unit 1800-220,620 sqft,1bd,1ba,"Contact$1,250",Austin,TX,78723,"One Month Free!! on a 12 month lease term.. One month free on a 12 month lease!Crestwood Apartments offers a mixture of comfort, quality, and design. Crestwood's newly renovated apartments are located in Austin's, Windsor Park neighborhood offering residents an urban suburban feel with easy access to great restaurants, coffee shops, and parks. The community features include both laundry facility and parking on-site. Renovated apartments include quartz counter tops, stainless steel appliance package and open living area, great for entertaining! Please contact us to schedule your personal tour today!(RLNE6200438)",,https://www.trulia.com/c/tx/austin/crestwood-apartment-homes-1800-patton-ln-austin-tx-78723--1050321298,2020-11-10
5,Crestwood Apartment Homes,1800 Patton Ln,Unit 1800-206,620 sqft,1bd,1ba,"Contact$1,250",Austin,TX,78723,"One Month Free!! on a 12 month lease term.. One month free on a 12 month lease!Crestwood Apartments offers a mixture of comfort, quality, and design. Crestwood's newly renovated apartments are located in Austin's, Windsor Park neighborhood offering residents an urban suburban feel with easy access to great restaurants, coffee shops, and parks. The community features include both laundry facility and parking on-site. Renovated apartments include quartz counter tops, stainless steel appliance package and open living area, great for entertaining! Please contact us to schedule your personal tour today!(RLNE6200438)",,https://www.trulia.com/c/tx/austin/crestwood-apartment-homes-1800-patton-ln-austin-tx-78723--1050321298,2020-11-10
6,Crestwood Apartment Homes,1800 Patton Ln,2 Bed 2.0 Bath,840 sqft,2bd,2ba,"$1,500",Austin,TX,78723,"One Month Free!! on a 12 month lease term.. One month free on a 12 month lease!Crestwood Apartments offers a mixture of comfort, quality, and design. Crestwood's newly renovated apartments are located in Austin's, Windsor Park neighborhood offering residents an urban suburban feel with easy access to great restaurants, coffee shops, and parks. The community features include both laundry facility and parking on-site. Renovated apartments include quartz counter tops, stainless steel appliance package and open living area, great for entertaining! Please contact us to schedule your personal tour today!(RLNE6200438)",,https://www.trulia.com/c/tx/austin/crestwood-apartment-homes-1800-patton-ln-austin-tx-78723--1050321298,2020-11-10
7,Crestwood Apartment Homes,1800 Patton Ln,Unit 1800-205,840 sqft,2bd,2ba,"Contact$1,500",Austin,TX,78723,"One Month Free!! on a 12 month lease term.. One month free on a 12 month lease!Crestwood Apartments offers a mixture of comfort, quality, and design. Crestwood's newly renovated apartments are located in Austin's, Windsor Park neighborhood offering residents an urban suburban feel with easy access to great restaurants, coffee shops, and parks. The community features include both laundry facility and parking on-site. Renovated apartments include quartz counter tops, stainless steel appliance package and open living area, great for entertaining! Please contact us to schedule your personal tour today!(RLNE6200438)",,https://www.trulia.com/c/tx/austin/crestwood-apartment-homes-1800-patton-ln-austin-tx-78723--1050321298,2020-11-10
