,price,Days on Market,Year Built,sqft,bed,bath,zipcode
27680,1172,,,798,1,1,78717
27681,1326,,,992,1,1,78717
27682,1165,,,692,1,1,78717
27683,1200,,,844,1,1,78717
27684,1345,,,813,1,1,78717
27685,1135,,,692,1,1,78717
27686,1481,,,956,1,1,78717
27687,1175,,,844,1,1,78717
27688,1195,,,844,1,1,78717
27689,1295,,,692,1,1,78717
27690,1111,,,692,1,1,78717
27691,1102,,,692,1,1,78717
27692,1316,,,813,1,1,78717
27693,1115,,,692,1,1,78717
27694,1092,,,744,1,1,78717
27695,1160,,,819,1,1,78717
27696,1000,,,798,1,1,78717
27697,1481,,,956,1,1,78717
27699,1462,,,1243,2,2,78717
27700,1634,,,1124,2,2,78717
27701,1695,,,1084,2,2,78717
27702,1544,,,1124,2,2,78717
27703,1395,,,1155,2,2,78717
27704,1651,,,1084,2,2,78717
27705,1508,,,1155,2,2,78717
27706,1590,,,1243,2,2,78717
27707,1657,,,955,2,2,78717
27708,1616,,,955,2,2,78717
27709,1511,,,1155,2,2,78717
27710,1474,,,955,2,2,78717
27711,1540,,,1084,2,2,78717
27712,1661,,,1084,2,2,78717
27713,1468,,,1000,2,2,78717
27714,1499,,,955,2,2,78717
27715,1531,,,1155,2,2,78717
27716,1529,,,1000,2,2,78717
27717,1604,,,1155,2,2,78717
27718,1511,,,1155,2,2,78717
27719,1855,,,1084,2,2,78717
27720,1649,,,1181,2,2,78717
27721,1337,,,1000,2,2,78717
27722,1734,,,1084,2,2,78717
27723,1724,,,1181,2,2,78717
27724,1517,,,1084,2,2,78717
27725,1582,,,1243,2,2,78717
27727,2118,,,1368,3,2,78717
27729,989,12.0,,620,1,1,78758
27730,989,12.0,,620,1,1,78758
27731,914,12.0,,495,1,1,78758
27732,914,12.0,,495,1,1,78758
27733,914,12.0,,495,1,1,78758
27734,989,12.0,,620,1,1,78758
27735,989,12.0,,620,1,1,78758
27736,914,12.0,,495,1,1,78758
27737,914,12.0,,495,1,1,78758
27738,1049,12.0,,620,1,1,78758
27739,940,12.0,,495,1,1,78758
27740,999,12.0,,620,1,1,78758
27741,999,12.0,,620,1,1,78758
27742,940,12.0,,495,1,1,78758
27743,940,12.0,,495,1,1,78758
27744,940,12.0,,495,1,1,78758
27745,999,12.0,,620,1,1,78758
27746,940,12.0,,495,1,1,78758
27747,999,12.0,,620,1,1,78758
27748,940,12.0,,495,1,1,78758
27749,940,12.0,,495,1,1,78758
27751,1266,12.0,,920,2,2,78758
27752,1266,12.0,,920,2,2,78758
27753,1319,12.0,,920,2,2,78758
27754,1319,12.0,,920,2,2,78758
27755,1319,12.0,,920,2,2,78758
27756,1319,12.0,,920,2,2,78758
27757,1319,12.0,,920,2,2,78758
27758,1319,12.0,,920,2,2,78758
27760,1731,,,786,1,1,78703
27761,1670,,,786,1,1,78703
27762,1640,,,664,1,1,78703
27763,1760,,,817,1,1,78703
27764,1690,,,664,1,1,78703
27765,1681,,,786,1,1,78703
27766,1710,,,697,1,1,78703
27767,1710,,,697,1,1,78703
27768,1731,,,786,1,1,78703
27769,1685,,,697,1,1,78703
27770,1731,,,786,1,1,78703
27771,1690,,,989,1,1,78703
27772,1615,,,664,1,1,78703
27773,1708,,,839,1,1,78703
27774,1664,,,1102,1,1,78703
27776,2774,,,1328,2,2,78703
27777,2749,,,1328,2,2,78703
27778,2789,,,1370,2,2,78703
27779,2659,,,1236,2,2,78703
27780,2814,,,1370,2,2,78703
27781,2814,,,1370,2,2,78703
27782,3139,,,1646,2,2,78703
27783,2659,,,1236,2,2,78703
27785,1230,,,690,1,1,78660
27786,1245,,,475,1,1,78660
27787,1300,,,775,1,1,78660
27788,1100,,,475,1,1,78660
27789,1300,,,775,1,1,78660
27790,1135,,,525,1,1,78660
27791,1135,,,525,1,1,78660
27792,1135,,,525,1,1,78660
27793,1135,,,525,1,1,78660
27794,1135,,,525,1,1,78660
27795,1380,,,625,1,1,78660
27796,1135,,,525,1,1,78660
27797,1135,,,525,1,1,78660
27798,1170,,,584,1,1,78660
27799,1385,,,775,1,1,78660
27800,1075,,,475,1,1,78660
27801,1070,,,475,1,1,78660
27802,1300,,,775,1,1,78660
27803,1230,,,690,1,1,78660
27804,1210,,,690,1,1,78660
27805,1200,,,625,1,1,78660
27806,1300,,,775,1,1,78660
27807,1070,,,475,1,1,78660
27808,1300,,,775,1,1,78660
27809,1320,,,775,1,1,78660
27810,1230,,,690,1,1,78660
27811,1150,,,584,1,1,78660
27812,1135,,,525,1,1,78660
27813,1220,,,475,1,1,78660
27814,1665,,,913,1,1,78660
27815,1200,,,625,1,1,78660
27816,1300,,,775,1,1,78660
27817,1155,,,525,1,1,78660
27818,1300,,,775,1,1,78660
27819,1210,,,690,1,1,78660
27820,1075,,,475,1,1,78660
27821,1135,,,525,1,1,78660
27822,1300,,,775,1,1,78660
27823,1200,,,625,1,1,78660
27824,1320,,,775,1,1,78660
27825,1210,,,690,1,1,78660
27826,1340,,,775,1,1,78660
27827,1705,,,913,1,1,78660
27828,1155,,,525,1,1,78660
27829,1095,,,475,1,1,78660
27830,1210,,,690,1,1,78660
27831,1665,,,913,1,1,78660
27832,1300,,,775,1,1,78660
27833,1135,,,525,1,1,78660
27834,1210,,,690,1,1,78660
27835,1200,,,625,1,1,78660
27836,1075,,,475,1,1,78660
27837,1705,,,913,1,1,78660
27838,1280,,,525,1,1,78660
27839,1135,,,525,1,1,78660
27840,1135,,,525,1,1,78660
27841,1135,,,525,1,1,78660
27842,1230,,,690,1,1,78660
27843,1200,,,625,1,1,78660
27844,1095,,,475,1,1,78660
27845,1320,,,775,1,1,78660
27846,1150,,,584,1,1,78660
27847,1075,,,475,1,1,78660
27848,1300,,,775,1,1,78660
27849,1200,,,625,1,1,78660
27850,1325,,,775,1,1,78660
27851,1300,,,775,1,1,78660
27852,1300,,,775,1,1,78660
27853,1170,,,584,1,1,78660
27854,1790,,,913,1,1,78660
27855,1340,,,775,1,1,78660
27856,1320,,,775,1,1,78660
27857,1300,,,775,1,1,78660
27858,1100,,,475,1,1,78660
27859,1150,,,584,1,1,78660
27860,1070,,,475,1,1,78660
27861,1300,,,775,1,1,78660
27862,1300,,,775,1,1,78660
27863,1150,,,584,1,1,78660
27864,1300,,,775,1,1,78660
27865,1300,,,775,1,1,78660
27866,1170,,,584,1,1,78660
27867,1195,,,625,1,1,78660
27868,1260,,,475,1,1,78660
27869,1135,,,525,1,1,78660
27870,1135,,,525,1,1,78660
27871,1170,,,584,1,1,78660
27872,1210,,,690,1,1,78660
27873,1170,,,584,1,1,78660
27874,1300,,,775,1,1,78660
27875,1300,,,775,1,1,78660
27876,1240,,,625,1,1,78660
27877,1075,,,475,1,1,78660
27878,1075,,,475,1,1,78660
27879,1300,,,775,1,1,78660
27880,1200,,,625,1,1,78660
27881,1300,,,775,1,1,78660
27882,1210,,,690,1,1,78660
27883,1075,,,475,1,1,78660
27884,1620,,,913,1,1,78660
27885,1255,,,625,1,1,78660
27886,1220,,,625,1,1,78660
27887,1345,,,625,1,1,78660
27888,1150,,,584,1,1,78660
27889,1345,,,625,1,1,78660
27890,1300,,,775,1,1,78660
27891,1155,,,525,1,1,78660
27892,1095,,,475,1,1,78660
27893,1150,,,584,1,1,78660
27894,1050,,,475,1,1,78660
27895,1300,,,775,1,1,78660
27896,1320,,,775,1,1,78660
27897,1280,,,525,1,1,78660
27898,1210,,,690,1,1,78660
27899,1150,,,584,1,1,78660
27900,1075,,,475,1,1,78660
27901,1170,,,584,1,1,78660
27902,1155,,,525,1,1,78660
27903,1135,,,525,1,1,78660
27904,1150,,,584,1,1,78660
27905,1075,,,475,1,1,78660
27906,1195,,,625,1,1,78660
27907,1200,,,625,1,1,78660
27908,1300,,,775,1,1,78660
27909,1150,,,584,1,1,78660
27910,1200,,,625,1,1,78660
27911,1155,,,525,1,1,78660
27912,1220,,,625,1,1,78660
27913,1155,,,525,1,1,78660
27914,1150,,,584,1,1,78660
27915,1195,,,625,1,1,78660
27916,1100,,,475,1,1,78660
27917,1195,,,625,1,1,78660
27918,1200,,,625,1,1,78660
27919,1300,,,775,1,1,78660
27920,1150,,,584,1,1,78660
27921,1135,,,525,1,1,78660
27922,1200,,,625,1,1,78660
27923,1075,,,475,1,1,78660
27924,1200,,,625,1,1,78660
27925,1200,,,625,1,1,78660
27926,1220,,,625,1,1,78660
27927,1200,,,625,1,1,78660
27928,1220,,,475,1,1,78660
27929,1075,,,475,1,1,78660
27930,1150,,,584,1,1,78660
27931,1300,,,775,1,1,78660
27932,1075,,,475,1,1,78660
27933,1300,,,775,1,1,78660
27934,1135,,,525,1,1,78660
27935,1115,,,475,1,1,78660
27936,1300,,,775,1,1,78660
27937,1245,,,475,1,1,78660
27938,1300,,,775,1,1,78660
27939,1135,,,475,1,1,78660
27940,1115,,,475,1,1,78660
27941,1300,,,775,1,1,78660
27942,1300,,,775,1,1,78660
27943,1300,,,775,1,1,78660
27944,1135,,,525,1,1,78660
27945,1280,,,525,1,1,78660
27946,1665,,,913,1,1,78660
27947,1300,,,775,1,1,78660
27948,1300,,,775,1,1,78660
27949,1300,,,775,1,1,78660
27950,1200,,,625,1,1,78660
27951,1155,,,525,1,1,78660
27952,1280,,,525,1,1,78660
27953,1300,,,775,1,1,78660
27954,1075,,,475,1,1,78660
27955,1115,,,475,1,1,78660
27956,1320,,,775,1,1,78660
27957,1230,,,690,1,1,78660
27959,1575,,,995,2,2,78660
27960,1575,,,995,2,2,78660
27961,1630,,,995,2,2,78660
27962,1535,,,995,2,2,78660
27963,1535,,,995,2,2,78660
27964,1535,,,995,2,2,78660
27965,1575,,,995,2,2,78660
27966,1535,,,995,2,2,78660
27967,1535,,,995,2,2,78660
27968,1560,,,995,2,2,78660
27969,1535,,,995,2,2,78660
27970,1535,,,995,2,2,78660
27971,1535,,,995,2,2,78660
27972,1535,,,995,2,2,78660
27973,1535,,,995,2,2,78660
27974,1555,,,995,2,2,78660
27975,1535,,,995,2,2,78660
27976,1535,,,995,2,2,78660
27977,1535,,,995,2,2,78660
27978,1535,,,995,2,2,78660
27979,1535,,,995,2,2,78660
27980,1535,,,995,2,2,78660
27981,1575,,,995,2,2,78660
27982,1575,,,995,2,2,78660
27983,1680,,,995,2,2,78660
27984,1535,,,995,2,2,78660
27985,1575,,,995,2,2,78660
27986,1535,,,995,2,2,78660
27987,1535,,,995,2,2,78660
27988,1575,,,995,2,2,78660
27989,1535,,,995,2,2,78660
27990,1575,,,995,2,2,78660
27991,1535,,,995,2,2,78660
27992,1535,,,995,2,2,78660
27993,1535,,,995,2,2,78660
27994,1535,,,995,2,2,78660
27995,1535,,,995,2,2,78660
27996,1535,,,995,2,2,78660
27997,1535,,,995,2,2,78660
27998,1535,,,995,2,2,78660
27999,1535,,,995,2,2,78660
28000,1535,,,995,2,2,78660
28001,1535,,,995,2,2,78660
28002,1535,,,995,2,2,78660
28003,1535,,,995,2,2,78660
28004,1535,,,995,2,2,78660
28005,1575,,,995,2,2,78660
28006,1680,,,995,2,2,78660
28007,1535,,,995,2,2,78660
28008,1575,,,995,2,2,78660
28009,1535,,,995,2,2,78660
28010,1560,,,995,2,2,78660
28011,1535,,,995,2,2,78660
28012,1535,,,995,2,2,78660
28013,1535,,,995,2,2,78660
28014,1575,,,995,2,2,78660
28015,1535,,,995,2,2,78660
28016,1535,,,995,2,2,78660
28017,1535,,,995,2,2,78660
28018,1575,,,995,2,2,78660
28019,1535,,,995,2,2,78660
28020,1630,,,995,2,2,78660
28021,1535,,,995,2,2,78660
